what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1333084107287
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1333084107301
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1333084110563
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333084133012
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333084365038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333084365445
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333084717364
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333084717863
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333085583207
activated,editor,com.salesforce.ide.ui.editors,20.0.1.201011121559,"com.salesforce.ide.ui.editors.apex",1333085585371
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333085587383
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333085588444
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333085588460
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333085590394
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333085590644
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1333085600129
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1333085600130
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1333085600131
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1333085600133
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1333085600134
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1333085600135
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.1.v200708241921,"org.eclipse.jst.ws.axis2.creation.core",1333085600136
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1333085600137
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.1.v200708241921,"org.eclipse.jst.ws.axis2.consumption.core",1333085600138
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1333085600139
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1333085600141
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1333085600142
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1333085600143
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1333085600144
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.400.v201103082016,"org.eclipse.jst.ws.consumption.ui",1333085600145
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.600.v201103082016,"org.eclipse.jst.ws.consumption",1333085600146
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1333085600147
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1333085600148
